task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
humanoid_standup,cem,2,100,23.98163414001465,0.11973731685429811,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
humanoid_standup,cem,2,101,23.824031829833984,0.1139908810146153,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
humanoid_standup,ps,0,100,23.788028717041016,0.11279623722657561,5,0.6,128,4,4,zero,50.0,30,0.3,{}
humanoid_standup,ps,0,101,21.595232009887695,0.11315479408949614,5,0.6,128,4,4,zero,50.0,30,0.3,{}
humanoid_standup,dial,0,100,22.487014770507812,0.12096159206703305,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
humanoid_standup,dial,0,101,23.260005950927734,0.11335944104939699,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
humanoid_standup,dial,1,100,22.51638412475586,0.11994006810709834,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
humanoid_standup,dial,1,101,21.387361526489258,0.11281981179490685,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
humanoid_standup,dial,2,100,25.107852935791016,0.11325302999466658,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
humanoid_standup,dial,2,101,24.857894897460938,0.11307318927720189,5,0.6,128,4,4,zero,50.0,30,0.3,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
pusht,cbo,0,100,0.46272405982017517,0.13213447015732527,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
pusht,cbo,0,101,0.5160748958587646,0.12489990703761578,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
pusht,cbo,1,100,0.510357141494751,0.12514674523845315,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
pusht,cbo,1,101,0.4879125654697418,0.12486515520140529,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
pusht,cbo,2,100,0.5522677898406982,0.13390246080234647,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
pusht,cbo,2,101,0.5712007880210876,0.12516199238598347,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
pusht,mppi_cma,0,100,0.536332368850708,0.12891773413866758,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
pusht,mppi_cma,0,101,0.5493038296699524,0.1255520791746676,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
pusht,mppi_cma,1,100,0.531328558921814,0.1267380779609084,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
pusht,mppi_cma,1,101,0.5785332918167114,0.1254227040335536,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
pusht,mppi_cma,2,100,0.53913414478302,0.1338078062981367,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
pusht,mppi_cma,2,101,0.5427294373512268,0.12545731896534562,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
pusht,cmaes,0,100,0.8292779922485352,0.13414389826357365,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,0,101,0.6673763990402222,0.1255925176665187,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,1,100,0.6016205549240112,0.12786618573591113,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,1,101,0.5580525398254395,0.1265507130883634,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
pusht,cmaes,2,100,0.6016205549240112,0.13688299292698503,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
pusht,cmaes,2,101,0.5580525398254395,0.126736368983984,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
pusht,cem,0,100,0.503464937210083,0.12473462708294392,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
pusht,cem,0,101,0.5584942102432251,0.12425316870212555,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
pusht,cem,1,100,0.4982808232307434,0.13252294063568115,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
pusht,cem,1,101,0.5142441391944885,0.12424125568941236,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
pusht,cem,2,100,0.6380385160446167,0.12463957211002707,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
pusht,cem,2,101,0.5431525707244873,0.12389686703681946,10,0.5,128,4,6,zero,100.0,50,0.4,"{""elite_fraction"":0.2,""explore_fraction"":0.5,""sigma_min_ratio"":0.5}"
pusht,ps,0,100,0.5453394055366516,0.12648473866283894,10,0.5,128,4,6,zero,100.0,50,0.4,{}
pusht,ps,0,101,0.5266824960708618,0.12412580382078886,10,0.5,128,4,6,zero,100.0,50,0.4,{}
pusht,dial,0,100,2.5589373111724854,0.13151519000530243,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
pusht,dial,0,101,0.9269659519195557,0.12447872990742326,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":0.5,""beta_opt_iter"":0.5,""temperature_scale"":0.1}"
pusht,dial,1,100,0.54222172498703,0.12455440172925591,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
pusht,dial,1,101,0.4965072274208069,0.12327397288754582,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":1.0,""beta_opt_iter"":1.0,""temperature_scale"":1.0}"
pusht,dial,2,100,0.5332945585250854,0.13073467882350087,10,0.5,128,4,6,zero,100.0,50,0.4,"{""beta_horizon"":2.0,""beta_opt_iter"":2.0,""temperature_scale"":10.0}"
