task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
pusht,cbo,1,101,0.4879125654697418,0.12471704324707389,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
pusht,cbo,2,100,0.5522677898406982,0.13494807993993163,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
pusht,cbo,2,101,0.5712007880210876,0.12442769622430205,10,0.5,128,4,6,zero,100.0,50,0.4,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
pusht,mppi_cma,0,100,0.536332368850708,0.1334982351399958,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
pusht,mppi_cma,0,101,0.5493038296699524,0.12539586424827576,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
pusht,mppi_cma,1,100,0.531328558921814,0.1272106128744781,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
pusht,mppi_cma,1,101,0.5785332918167114,0.12551976600661874,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
pusht,mppi_cma,2,100,0.53913414478302,0.13385749608278275,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
pusht,mppi_cma,2,101,0.5427294373512268,0.1255054473876953,10,0.5,128,4,6,zero,100.0,50,0.4,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
pusht,cmaes,0,100,0.8292779922485352,0.12687281286343932,10,0.5,128,4,6,zero,100.0,50,0.4,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
